#CLUSTER         dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
2am              -113.05566862703388  -113.02054110028108  0.0001178183020385581
1am1ma           -152.319322318914    -152.2813754469675   0.000127274432153275
2ma              -191.58417647401023  -191.54383029322562  0.00013532175342814893
1am1dma          -191.5900728303147   -191.54951867244878  0.00013601931197693577
1dma1ma          -230.85599535343252  -230.81162302954291  0.0001488255035707257
1am1tma          -230.86426934743434  -230.82158865620588  0.00014315173982379828
1am1fa           -246.23826947775953  -246.20220309676705  0.00012096723458818805
1am1eda          -246.92421249726902  -246.8829786458749   0.00013829901524106802
2dma             -270.12568305307707  -270.07979185903133  0.00015391981903649255
1ma1tma          -270.12879462025916  -270.0831149113652   0.00015321049436168053
1fa1ma           -285.5037910804249   -285.4650696645567   0.00012987226519596751
1eda1ma          -286.1892232346552   -286.144596718734    0.0001496780678221309
1dma1tma         -309.3989347617978   -309.3507028876443   0.00016177049858642192
1dma1fa          -324.77608253738947  -324.7333657001495   0.00014327297414058117
1dma1eda         -325.4597821114631   -325.4125194726635   0.00015851966728011463
1am1nta          -337.34762594265504  -337.3099767976662   0.0001262758510442277
2tma             -348.6700438300548   -348.61842558258     0.00017312845035978325
1eda1tma         -364.7318127925084   -364.6804343496728   0.00017232414165883658
1ma1nta          -376.61457769341456  -376.5740456153351   0.000135945256010254
2fa              -379.4131701443304   -379.3746439503548   0.00012921748775984892
1eda1fa          -380.10988714472995  -380.06613894713473  0.00014673217372203053
2eda             -380.7940305758674   -380.74593571061797  0.00016131096847037205
1dma1nta         -415.8854191928288   -415.84239549569344  0.0001443021872726715
1fa1nta          -470.5146433599581   -470.47403343395644  0.00013620635922066254
2nta             -561.6135567817582   -561.5706516080654   0.00014390465769851765
1am1msa          -720.7390548029239   -720.6969614445169   0.00014118181588781598
1am1sa           -756.6576007865607   -756.6165481570106   0.0001376911941980377
1ma1msa          -760.0053273532752   -759.9605303642726   0.00015024983733912453
2am1msa          -777.2725309516085   -777.2256351457584   0.00015728930353890386
1ma1sa           -795.9265806486259   -795.8821325664079   0.00014907959824922375
1dma1msa         -799.280467034522    -799.2326939572057   0.00016023168645418588
2am1sa           -813.1974355945599   -813.1486630793554   0.000163583817556745
1am1ma1msa       -816.5443172300614   -816.493653173386    0.00016992807873702107
1dma1sa          -835.203302260324    -835.1551420907017   0.0001615300004101127
1am1ma1sa        -852.4646920407291   -852.4150255195481   0.00016658232829448703
1fa1msa          -853.910890243593    -853.8659700060384   0.00015066321500788754
1eda1msa         -854.6152066725351   -854.566612670884    0.00016298508016492405
1am1dma1msa      -855.809970300015    -855.7552715605299   0.0001834604711895325
2ma1msa          -855.8111903294244   -855.7584167495131   0.00017700345433948415
1sa1tma          -874.4770787989348   -874.4275452296533   0.00016613640543851354
1fa1sa           -889.8269219078209   -889.7829841134092   0.00014736808456031726
1eda1sa          -890.536178947277    -890.4880660559909   0.0001613714280934498
2ma1sa           -891.7320120360729   -891.6786190538721   0.00017908093979813344
1am1dma1sa       -891.739947249347    -891.6863365056436   0.00017981131545687134
1am1msa1tma      -895.0854147097765   -895.0288971054243   0.00018956097384585668
1am1eda1msa      -911.1517840488153   -911.0962809216155   0.00018615840080419483
1dma1ma1sa       -931.0070256362706   -930.9508816186535   0.00018830795779640355
1am1sa1tma       -931.0117115315123   -930.9557210329639   0.0001877930523174225
1ma1msa1tma      -934.3507961098068   -934.2916703616103   0.00019830873116366294
2dma1msa         -934.358225924634    -934.298637335774    0.00019986110635597312
1msa1nta         -945.0113261375532   -944.9639114728652   0.00015902956460818034
1am1eda1sa       -947.073568472972    -947.0182209649345   0.00018563645157677303
1eda1ma1msa      -950.4190527262842   -950.360949781111    0.00019487823301435447
1dma1ma1msa      -950.4190527262842   -950.360949781111    0.00019487823301435447
1ma1sa1tma       -970.2769317891963   -970.2192222688042   0.00019355867983278857
2dma1sa          -970.2782656382489   -970.2184987701041   0.00020045905800658724
1dma1msa1tma     -973.6274263149813   -973.5655177783188   0.00020764224941304023
1nta1sa          -980.9253336916056   -980.8790811332793   0.00015513184077247134
1eda1ma1sa       -986.3405753472725   -986.2821684696058   0.00019589762759258196
1dma1eda1msa     -989.6897868313063   -989.6291327283922   0.00020343485800452103
1dma1sa1tma      -1009.5495407713578  -1009.487560674824   0.00020788226239747693
1msa2tma         -1012.891321629111   -1012.8258081479695  0.00021973329244164247
1dma1eda1sa      -1025.6156842637438  -1025.5555505276013  0.00020168953930021518
1eda1msa1tma     -1028.9590098330789  -1028.8959808088462  0.00021140038313817366
2eda1msa         -1045.0286214911835  -1044.9674452826741  0.00020518600875191054
1sa2tma          -1048.8233578580134  -1048.7603516093168  0.00021132399361610928
1eda1sa1tma      -1064.88382333891    -1064.8212363339078  0.00020991784337468436
2eda1sa          -1080.9482784026345  -1080.8866746875258  0.00020661987291216628
2msa             -1328.4096126261845  -1328.3592407112133  0.00016894823066016795
1msa1sa          -1364.3239403697994  -1364.2734819197995  0.00016923847056822728
1am2msa          -1384.9548365539536  -1384.8986622117834  0.0001884096668458595
2sa              -1400.2382689951105  -1400.1888631768836  0.0001657079263015472
1am1msa1sa       -1420.8796553408172  -1420.8260386558813  0.00017983124244766834
