#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
1am                 -56.52988805909683  -56.50803939758097  7.32807697999575e-05  
1am1p               -56.85720364625544  -56.83610463444376  7.076643237191799e-05 
1w                  -76.40561586272608  -76.38420180831024  7.182309044389683e-05 
1ma                 -95.79623047622077  -95.7689426619235   9.152377761955581e-05 
2am                 -113.05566862703388 -113.02054110028108 0.0001178183020385581 
2am1p               -113.42235054725046 -113.39080726932802 0.00010579667255555442
1dma                -135.06699067938317 -135.03623562975207 0.00010315294191215255
1dma1p              -135.42346841720837 -135.39234262282193 0.00010439642591462469
1am1ma              -152.319322318914   -152.2813754469675  0.000127274432153275  
2w                  -152.8084914351091  -152.77587329214128 0.00010940178758276483
3am                 -169.58126544111155 -169.54121518509044 0.000134329216907986  
3am1p               -169.9693100927942  -169.9299643250406  0.0001319663516806453 
1ma1w               -172.20136961289296 -172.16469313100745 0.00012301352301029756
1tma                -174.33978968449028 -174.3072050320137  0.00010928945992474745
1fa                 -189.70265315505225 -189.67447074040697 9.452428188922547e-05 
1eda                -190.39973908219653 -190.365919158711   0.00011343257919013304
1bda                -190.39975612208346 -190.36592512765836 0.00011346971130336562
2ma                 -191.58417647401023 -191.54383029322562 0.00013532175342814893
1am1dma             -191.59028336523858 -191.54917780504508 0.00013786872444573441
1am1dma1p           -191.9761550896277  -191.9368350368873  0.00013188010310380378
1am2aq              -209.34000893405243 -209.3016764725504  0.00012856770585950697
1am2aq1p            -209.70780045087577 -209.66661058969595 0.00013815147133931774
1mea                -210.27413668478795 -210.24087824973287 0.00011154933776652117
1dma1w              -211.47109003866944 -211.4323048725487  0.00013008608459073195
1aq1dma1p           -211.84453394266927 -211.80445846741043 0.00013441380264581638
4am                 -226.10613172150894 -226.0592261479585  0.00015732206456629653
3w                  -229.21470268478998 -229.1773885580121  0.00012515219445873949
1mda                -229.67047370424535 -229.6332930421903  0.00012470455158489595
1pda                -229.67834719244354 -229.64193774232197 0.00012211789408542436
1dma1ma             -230.85599535343252 -230.81162302954291 0.0001488255035707257 
1am1tma             -230.86426934743434 -230.82158865620588 0.00014315173982379828
1am1eda             -246.92421249726902 -246.8829786458749  0.00013829901524106802
2am1dma1p           -248.52065338113678 -248.47346026928275 0.00015828647276215296
1ma2w               -248.60530736203918 -248.5634117593125  0.00014051854008621887
1pz                 -267.75501793371467 -267.7202683597808  0.00011655064207237262
1diABmda            -268.94012434269126 -268.8998634708834  0.0001350356257180542 
1diAAmda            -268.9417042950372  -268.90229770811214 0.0001321703401812206 
1put                -268.95635996950756 -268.9158983472572  0.0001357089460014761 
2dma                -270.12568305307707 -270.07979185903133 0.00015391981903649255
1ma1tma             -270.12879462025916 -270.0831149113652  0.00015321049436168053
2dma1p              -270.51494917661864 -270.4707065259289  0.000148390577527249  
1nta                -280.80756023921487 -280.7774218367255  0.00010108469726430694
1am3aq              -285.7477251422262  -285.70383183411025 0.00014721887679353346
1am3aq1p            -286.12379903447726 -286.0738918744861  0.0001673894348185898 
1eda1ma             -286.1892232346552  -286.144596718734   0.0001496780678221309 
3ma                 -287.37646540098746 -287.3258491588012  0.00016976770815441247
1dma2w              -287.87653960723003 -287.8312218950983  0.00015199635127207637
2aq1dma1p           -288.2613950757026  -288.2127494239204  0.00016315831555324664
4w                  -305.62472964115625 -305.582058916221   0.0001431183127125702 
1triAABmda          -308.21276758726134 -308.16986586076456 0.00014389309574637377
1dma1tma            -309.3989347617978  -309.3507028876443  0.00016177049858642192
1dma1eda            -325.4597821114631  -325.4125194726635  0.00015851966728011463
1am2dma1p           -327.05836767977496 -327.00507821964493 0.0001787337250713774 
1am1nta             -337.34762594265504 -337.3099767976662  0.0001262758510442277 
1am1glyt            -340.3010725746458  -340.25790752186464 0.00014477629643183654
1am1gly             -340.8465378839608  -340.80404155603145 0.00014253338228870666
1am1gly1p           -341.21090392503623 -341.1698325346942  0.00013775411820229474
1teAABBmda          -347.4810061249339  -347.4351362047652  0.00015384846610349493
2tma                -348.6700438300548  -348.61842558258    0.0001731284503597833 
1glyt1w             -360.185919297117   -360.14377040087953 0.00014136809068411875
1gly1w              -360.71822040521783 -360.67707994515274 0.0001379857791885807 
1gly1p1w            -361.07492707454037 -361.033554927338   0.0001387628616548541 
1am4aq              -362.1530928502251  -362.1024434244495  0.00016987900645846221
1dma3w              -364.2840980958553  -364.23370183676093 0.0001690298812490147 
3aq1dma1p           -364.6719492448586  -364.61953901980314 0.00017578475618127952
1eda1tma            -364.73181916606046 -364.6820599016731  0.00016689339053289537
1ma1nta             -376.61457769341456 -376.5740456153351  0.000135945256010254  
1oa                 -378.20964905278777 -378.17452758168577 0.00011779799128619043
2eda                -380.7940305758674  -380.74593571061797 0.00016131096847037203
5w                  -382.0301616761366  -381.98048024084545 0.0001666323504649794 
4ma                 -383.168006442932   -383.1074629268152  0.00020306394806910748
2am1nta             -393.8750630342415  -393.83168489751876 0.00014549098347399516
