#CLUSTER   dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
1dma1sa    -835.1081626352217   -835.0622209954429   0.00015408901485417173  -835.206443974731
2dma2sa    -1670.2475006255984  -1670.178899793549   0.00023008831812648103  -1670.471329847034
3dma3sa    -2505.3794393460876  -2505.29120882672    0.0002959266119993633   -2505.73155351473
4dma4sa    -3340.508078710032   -3340.3993511858303  0.000364673903074794    -3340.987792325313
5dma5sa    -4175.6451216558935  -4175.5168495657     0.00043022669861884346  -4176.252961949332
6dma6sa    -5010.778954561996   -5010.631353495755   0.0004950564019468411   -5011.515868651118
7dma7sa    -5845.907292861331   -5845.73915028145    0.0005639529762935244   -5846.770946336647
8dma8sa    -6681.038770861287   -6680.851165097052   0.0006292328164829425   -6682.031226833106
9dma9sa    -7516.1677517684675  -7515.960635301269   0.000694672034879188    -7517.289904990147
10dma10sa  -8351.301478237363   -8351.074143678474   0.0007624838466862852   -8352.551672993139
11dma11sa  -9186.433689388849   -9186.187972509255   0.000824138452435105    -9187.81263207375
12dma12sa  -10021.562870966673  -10021.296801024675  0.0008924029582357472   -10023.068408320882
13dma13sa  -10856.695296082813  -10856.411330305686  0.0009524258833700602   -10858.332278178068
14dma14sa  -11691.830428093097  -11691.526419425008  0.0010196500690512302   -11693.59603899872
15dma15sa  -12526.966088368981  -12526.64257877519   0.0010850564943515177   -12528.859587660814
