# CLUSTER  dG
1am1b     -755.4172372859289
1am1b1sa  -1454.9214657726748
1am1b2sa  -2154.4107913421904
1am1b3sa  -2853.89030402005
1am1b4sa  -3553.362809399822
1am1p1sa  -756.2605380324931
1am1p2sa  -1455.730376470153
1am2sa    -1455.399613483343
1am3sa    -2154.8653841229884
1am4sa    -2854.327333818493
1am5sa    -3553.7885877395024
1dma1sa   -834.3423962198001
1dma2sa   -1533.8238450936972
1dma4sa   -2932.7551479254194
1pz       -267.37041637314195
1pz1sa    -966.842514186362
1pz2sa    -1666.326072054821
1pz3sa    -2365.795631594163
1pz4sa    -3065.272881226971
2am       -112.92112189164199
2am1b     -811.8808775719908
2am1b1sa  -1511.382580364849
2am1b2sa  -2210.884077225373
2am1b3sa  -2910.369866828918
2am1b4sa  -3609.845248020692
2am1p     -113.27899146865501
2am1p1sa  -812.756274581221
2am1p2sa  -1512.228662472358
2am1p3sa  -2211.6953879038215
2am1sa    -812.3965413190028
2am3sa    -2211.3499489678447
2am4sa    -2910.8165453497018
2am5sa    -3610.2778502338756
2pz       -534.734529095166
2pz1sa    -1234.2231617349992
2pz2sa    -1933.7254644592322
2pz3sa    -2633.199444812452
2pz4sa    -3332.6760582625843
2sa       -1398.9136654950405
3am       -169.37710273731003
3am1b3sa  -2966.8458357537634
3am1b4sa  -3666.3332028270115
3am1p     -169.756622754321
3am1p1sa  -869.2332262012061
3am1p2sa  -1568.72203989567
3am1p3sa  -2268.190205886899
3am1p4sa  -2967.65893347235
3am1sa    -868.8571729733142
3am2sa    -1568.3440045562306
3am4sa    -2967.3023647191944
3am5sa    -3666.7787364143146
3pz       -802.101508008445
3pz1sa    -1501.5966280221148
3pz2sa    -2201.1085083738926
3pz3sa    -2900.5989300820056
3pz4sa    -3600.0732843585088
3sa       -2098.373626455099
4am       -225.833064213406
4am1p2sa  -1625.1990793666832
4am1p3sa  -2324.6805242661867
4am1p4sa  -3024.1496818803603
4am1sa    -925.3218158015201
4am2sa    -1624.8112146649858
4am3sa    -2324.3028536666866
4am5sa    -3723.256043622325
4dma2sa   -1938.477119267935
4dma4sa   -3337.467261441671
4pz       -1069.4707405068837
4pz1sa    -1768.971251791794
4pz2sa    -2468.487187283423
4pz3sa    -3167.9943828950277
4pz4sa    -3867.4796753450237
4sa       -2797.838217016614
5am1p3sa  -2381.1547510643936
5am1p4sa  -3080.6343558086137
5am4sa    -3080.2535168602203
5am5sa    -3779.748487315172
