#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
2am       -113.05443954815236  -113.01981585146721  0.0001161284477113507
2am1p     -113.42235054725046  -113.39080726932802  0.00010579667255555442
3am       -169.58126544111155  -169.54121518509044  0.00013432921690798597
3am1p     -169.9693100927942   -169.9299643250406   0.0001319663516806453
4am       -226.10613172150894  -226.0592261479585   0.00015732206456629653
1pz       -267.75501793371467  -267.7202683597808   0.00011655064207237262
1am1b     -756.1494065904035   -756.1091721728554   0.00013494689769606876
1am1p1sa  -756.9936445379224   -756.9491954835893   0.0001490828587389952
2am1b     -812.6783417187481   -812.6287299614226   0.00016639864942328222
2am1sa    -813.1969810611963   -813.1486104177088   0.00016223593321324463
2am1p1sa  -813.55989298972     -813.5112943044104   0.00016300078923205797
1dma1sa   -835.203302260324    -835.1551420907017   0.0001615300004101127
3am1sa    -869.7301574338929   -869.6770706729541   0.00017805386865281814
3am1p1sa  -870.1068625981601   -870.0525785137492   0.00018206971125568928
4am1sa    -926.2633642124605   -926.2047783446761   0.00019649796338859764
2sa       -1400.2385296372881  -1400.1893264629427  0.0001650282553927671
1am1b1sa  -1456.3199909236337  -1456.268683730933   0.00017208516753545615
1am2sa    -1456.795848726261   -1456.7423554807376  0.00017941722462968667
1am1p2sa  -1457.1255629626596  -1457.0689700150324  0.0001898136764286601
2am1b1sa  -1512.8500457712105  -1512.7927291441233  0.00019224090923069097
2am1p2sa  -1513.6958609337441  -1513.6346119403966  0.0002054301302954426
1dma2sa   -1535.3471945559957  -1535.2867916863531  0.00020259221748302107
3am2sa    -1569.8820486102272  -1569.8178838215176  0.00021520975585990714
3am1p2sa  -1570.260346082951   -1570.1939034128009  0.00022284980764770352
4am2sa    -1626.4178336965535  -1626.3479774360012  0.0002342990459580185
4am1p2sa  -1626.8057484245471  -1626.7330806621587  0.0002437288693224473
4dma2sa   -1940.593717052665   -1940.5004990987075  0.00031265454958043313
3sa       -2100.3591777200754  -2100.2971297816903  0.00020810980508237774
1am1b2sa  -2156.47133614509    -2156.407574062562   0.0002138590727076074
1am3sa    -2156.9229911131442  -2156.855317104473   0.00022697973728379728
2am1b2sa  -2213.014693507345   -2212.9437425237466  0.00023797076504497887
2am3sa    -2213.478387941125   -2213.40630478728    0.00024176808265978107
2am1p3sa  -2213.824042823114   -2213.7505717470544  0.0002464231965763898
3am1p3sa  -2270.389073973512   -2270.3093824950747  0.00026728652838207533
4am3sa    -2326.5776979428542  -2326.49926992613    0.00026304885703130426
4am1p3sa  -2326.9512768745735  -2326.8675722494263  0.0002807466884026074
5am1p3sa  -2383.4949937361716  -2383.4057950169413  0.0002991739702505347
4sa       -2800.482136831797   -2800.4047666526267  0.0002595008524918548
1am1b3sa  -2856.610376803049   -2856.531416182597   0.000264835218689136
1am4sa    -2857.0472394034186  -2856.968760862359   0.0002632183164841522
2am1b3sa  -2913.1624258024353  -2913.0813370493365  0.0002719730105613297
2am4sa    -2913.609177400789   -2913.5267579492975  0.00027643619484063974
1dma4sa   -2935.600814655214   -2935.515656485216   0.00028562190172131796
3am1b3sa  -2969.710468131432   -2969.623615366729   0.0002913056002111521
3am4sa    -2970.164504051209   -2970.077731816716   0.0002910355005622271
3am1p4sa  -2970.519360873609   -2970.4265995946544  0.000311122854116117
4am1p4sa  -3027.0820315110773  -3026.9850694107336  0.0003252124780945185
5am4sa    -3083.2590728920163  -3083.1640408346075  0.00031873908237065913
5am1p4sa  -3083.6386214201993  -3083.537689575722   0.0003385270651587954
4dma4sa   -3340.9081482805477  -3340.790709813166   0.00039389054966258523
1am1b4sa  -3556.744860924143   -3556.655946446154   0.0002982206204554507
1am5sa    -3557.1703910744336  -3557.078749699095   0.0003073666789824588
2am1b4sa  -3613.2992683264033  -3613.205493946895   0.00031452081002393
2am5sa    -3613.73124284801    -3613.6349268567437  0.0003230454176300309
3am1b4sa  -3669.859079494539   -3669.7610499740813  0.0003287926226985771
3am5sa    -3670.3022814456704  -3670.202067644727   0.0003361187353460382
4am5sa    -3726.850249506796   -3726.7442601425437  0.0003554900696040203
5am5sa    -3783.4137637928325  -3783.3027969684017  0.00037218455284517953
